Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, 1st Distrib PN, 1st Distrib Link, 2nd Distrib PN, 2nd Distrib Link,,Val,Package,PosX,PosY,Rot,Side
U1,ES-WROOM-32,module:ESP-WROOM-32-short,http://espressif.com/sites/default/files/documentation/esp_wroom_32_datasheet_en.pdf,espressif,esp-wroom-32,ESP-32S,http://www.analoglamb.com/product/esp3212-wifi-bluetooth-combo-module/,ESP-32S-ALB,http://www.analoglamb.com/product/esp-32s-alb/,,-,,,,,
P1,CONN_01X05,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,http://www.molex.com/webdocs/datasheets/pdf/en-us//0022285051_PCB_HEADERS.pdf,Molex,22-28-4012,pin header 40 pin male 2.54mm,https://www.aliexpress.com/wholesale?SearchText=pin+header+40+pin+male+2.54mm,538-22-28-5051,http://www.mouser.de/ProductDetail/Molex/22-28-5051/?qs=sGAEpiMZZMs%252bGHln7q6pm8uos17B4BQA0VgWHqJKoxo%3d,,-,,,,,
BT1,Battery,module:cr2032_bat_holder,http://www.mouser.com/ds/2/238/bat-hld-001-220194.pdf,Linx Technologies,BAT-HLD-001,712-BAT-HLD-001,http://www.mouser.de/ProductDetail/Linx-Technologies/BAT-HLD-001/?qs=sGAEpiMZZMtz8P%2feuiupSRWPoTl3m4cbQyLs9uuV7KM%3d,BAT-HLD-001-THM-ND,http://www.digikey.com/product-detail/en/linx-technologies-inc/BAT-HLD-001-THM/BAT-HLD-001-THM-ND/3044009,,Battery,cr2032_bat_holder,95.067961,-58.473131,0.000000,bottom
Q1,Q_NMOS_GDS,w_smd_trans:sot23,http://www.aosmd.com/pdfs/datasheet/AO3406.pdf,Alpha & Omega Semiconductor Inc.,AO3406,ao3406 100pcs,https://www.aliexpress.com/wholesale?SearchText=ao3406+100pcs,785-1005-1-ND,http://www.digikey.com/product-detail/en/alpha-omega-semiconductor-inc/AO3406/785-1005-1-ND/1855947,,Q_NMOS_GDS,sot23,97.790000,-53.149500,90.000000,top
SW1,SW_PUSH,module:SMD_Reed_Switch,http://www.mouser.com/ds/2/240/Littelfuse_Reed_Switches_MDSM_4_Datasheet.pdf-938384.pdf,Hamlin / Littelfuse,MDSM-4R-7-13,934-MDSM-4R-7-13,http://www.mouser.de/ProductDetail/Hamlin-Littelfuse/MDSM-4R-7-13/?qs=sGAEpiMZZMvFdY0L2HfHxpd8me%252bqUBsA6gYFFzMsi64%3d,F7839CT-ND,http://www.digikey.com/product-detail/en/littelfuse-inc/MDSM-4R-7-13/F7839CT-ND/6217915,,SW_PUSH,SMD_Reed_Switch,93.853000,-67.997000,90.000000,top
R1,10K,w_smd_resistors:r_0603,,arbitrary,10k 0603 resistor 10%,10k 0603 resistor 1% 1000pcs,https://www.aliexpress.com/wholesale?SearchText=10k+0603+resistor+1%25+1000pcs,603-RC0603JR-0710KL,http://www.mouser.de/ProductDetail/Yageo/RC0603JR-0710KL/?qs=sGAEpiMZZMvdGkrng054txdMlaQGj9fi5a0YMwYlB2s%3d,,10K,r_0603,99.695000,-59.065160,270.000000,top
R2,330R,w_smd_resistors:r_0603,,arbitrary,330R 0603 resistor 10%,330R 0603 resistor 10% 1000pcs,https://www.aliexpress.com/wholesale?SearchText=330R+0603+resistor+10%25+1000pcs,603-RC0603JR-07330RL,http://www.mouser.de/ProductDetail/Yageo/RC0603JR-07330RL/?qs=sGAEpiMZZMvdGkrng054t1u4NFGr8RGrZwnaMsEkwfc%3d,,330R,r_0603,88.011000,-60.970160,90.000000,top
D1,LED,LEDs:LED_0603,,arbitrary,led green 0603,led green 0603 100pcs,https://www.aliexpress.com/wholesale?SearchText=led+green+0603+100pcs,859-LTST-C190GKT,http://www.mouser.de/ProductDetail/Lite-On/LTST-C190GKT/?qs=sGAEpiMZZMseGfSY3csMkXFyfJS0jLI%2f1FiRwkUeSzk%3d,,LED,LED_0603,88.011000,-56.096000,90.000000,top
D2,LED,LEDs:LED_0603,,arbitrary,led red 0603,led red 0603 100pcs,https://www.aliexpress.com/wholesale?SearchText=led+red+0603+100pcs,859-LTST-C190KRKT,http://www.mouser.de/ProductDetail/Lite-On/LTST-C190KRKT/?qs=sGAEpiMZZMseGfSY3csMkc1s5Vl7SWse2rJHZg0oi4o%3d,,LED,LED_0603,84.455000,-56.045000,90.000000,top
C2,10uF,w_smd_cap:c_1206,,arbitrary,10uF 1206 capacitor X7R,10uF 1206 capacitor X7R 100pcs,https://www.aliexpress.com/wholesale?SearchText=10uF+1206+capacitor+X7R+100pcs,581-1206ZC106KAT2A,http://www.mouser.de/ProductDetail/AVX/1206ZC106KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQPSZir2U04Awt0wjnhgBKAA%3d,,10uF,c_1206,99.441000,-70.358000,0.000000,top
